alpha,delta,u,g,r,i,z,class,redshift,plate,MJD
123.854418798427,-1.10653858853696,17.7459,16.22308,15.64555,15.42981,15.31997,STAR,9.623459e-05,2057,53816
220.832615607988,54.3359946970625,20.56944,20.55979,20.63203,20.39541,20.43336,QSO,1.783002,8399,57843
199.827352263509,50.7689951409391,21.64838,21.63164,21.35252,21.42114,21.55724,QSO,1.092309,8210,57426
181.642195653011,8.7352008743415,23.272,21.59172,21.31921,21.29306,21.3042,QSO,2.912449,5389,55953
10.7514484617186,-3.51521817097694,21.16498,20.67661,19.95852,19.2717,19.11723,GALAXY,0.6240489,7040,56574
318.064920800728,0.863097254195273,21.20251,21.14745,21.04534,21.28723,23.7511,STAR,-3.666267e-05,5141,55746
175.1610685226,67.8768149003444,23.86678,22.40926,20.51089,19.38559,19.09623,GALAXY,0.5514291,7115,56667
203.903043913507,45.6055410297591,24.52818,22.40487,20.72576,19.80544,19.28533,GALAXY,0.5588754,6627,56369
188.473018760363,46.7606446313056,21.94129,20.3345,19.80958,19.75478,19.18962,STAR,-0.0004198433,6667,56412
219.8236999018,37.7025865705471,23.80298,21.88951,20.23275,19.33565,18.91325,GALAXY,0.4807224,5173,56046
184.736042905056,8.25913668230606,24.36703,22.06346,21.65329,21.14335,20.70007,QSO,2.155205,5396,55947
129.257649722919,48.7198035291025,24.22567,21.36718,21.17308,21.1565,20.91254,QSO,2.62579,7319,56962
111.513793575808,41.5340735483588,21.71465,21.23442,21.05691,20.65995,20.45895,QSO,1.814561,10656,58163
135.56405703969,27.1289709484906,23.07628,22.42915,20.80918,19.81439,19.2324,GALAXY,0.649949,5780,56274
53.6155324109657,0.851356375166726,24.18734,23.25383,21.41646,20.29076,19.66437,STAR,0.0001038341,1517,52934
218.550013472858,43.7586028088774,24.21287,23.72714,21.77643,20.77461,19.92881,GALAXY,0.6394413,8496,58159
128.67013862043,1.66857038717735,24.70283,22.33459,20.53897,19.52479,19.12702,GALAXY,0.5137759,4794,55647
238.397633182782,44.7028086158553,23.75955,24.4128,19.81792,18.59367,18.25496,GALAXY,0.62119,6033,56069
330.870076798717,16.1115498584741,22.8712,22.4312,20.4922,19.34169,18.90474,GALAXY,0.5547135,5061,55806
347.653816305606,-9.32550123652533,18.57592,17.27612,16.67132,16.31675,16.12581,GALAXY,0.06452455,726,52226
164.146662315363,40.4012293670388,19.33474,18.42618,18.0786,17.98181,17.9428,STAR,-0.0005190916,4625,55632
177.363722647813,55.4655712860707,18.58841,18.24559,18.34749,18.22237,18.26967,QSO,0.5286271,6839,56425
121.64360224917,-7.52513575944523,18.33377,15.97713,14.9156,14.52762,14.28635,STAR,2.29488e-05,2806,54425
256.033877243681,46.6125096641643,22.18471,21.27158,19.47829,18.80773,18.47781,GALAXY,0.3842518,6025,56098
22.9670111488365,19.5702040678159,22.12119,22.56431,21.35474,20.74269,20.69789,GALAXY,0.6503434,7245,56636
132.941561883175,40.289835593307,21.9209,21.65171,21.21861,20.99364,21.37159,QSO,1.486887,8829,57446
166.714572493195,44.8483895028817,24.04502,21.71964,21.53829,21.53296,21.48734,STAR,-0.0007118349,4685,55657
349.387068008833,21.63116724556,23.05693,21.73839,21.62845,21.56287,20.94722,STAR,-0.0003421121,6123,56217
144.36940664964,26.9423141222672,22.58656,21.29271,20.23975,19.50241,19.17643,GALAXY,0.4675485,5791,56255
173.167814158664,5.34332601587719,18.143,16.79607,16.31919,16.05782,15.79279,GALAXY,0.02813233,837,52642
152.514550814997,5.22008472104223,20.6255,18.59443,17.40494,16.94058,16.57982,GALAXY,0.1764861,573,52325
124.198189316588,40.3797286608238,23.22474,22.20336,20.29641,19.42108,18.80991,GALAXY,0.5820473,3806,55505
239.964128775556,44.2380836465775,19.33085,18.17414,17.54148,17.16734,16.94054,GALAXY,0.1490916,1169,52753
144.746314983122,33.4965247528891,25.33992,23.05612,21.5497,20.41636,19.47162,GALAXY,0.9226736,10228,58223
65.4972701617761,25.821581031156,18.67189,17.08065,16.37655,16.03237,15.86048,STAR,6.254522e-05,1254,52972
180.920370135642,46.8295219770447,22.46373,23.08794,20.929,19.7951,19.40746,GALAXY,0.6327272,6641,56383
141.038191399584,41.8544837975008,23.90051,22.08437,20.37431,19.24711,18.863,GALAXY,0.5975002,4639,55944
121.782244406355,10.1500391791469,20.42136,18.44664,17.44026,17.04139,16.68105,GALAXY,0.1071668,2419,54139
359.015412743825,9.44206673751568,23.99364,23.16586,21.11168,19.97956,19.43178,GALAXY,0.6878561,6152,56164
0.622729437150213,-4.52443792156933,18.94123,17.87309,17.82876,17.85077,17.88336,STAR,-0.0009159714,2624,54380
354.529070039354,3.05108618525859,22.98065,22.64277,21.12657,20.03155,19.423,GALAXY,0.5626697,4281,55836
39.4050359025198,26.4483429157152,17.87541,16.53968,16.00409,15.80071,15.70522,STAR,-0.0001744785,3158,54794
247.237896515364,27.0583811254277,23.7373,22.10182,20.73888,19.80369,19.42845,GALAXY,0.5561308,5006,55706
131.535209281556,30.5098796820743,22.50198,21.94791,21.73915,21.76485,21.68248,QSO,1.333379,5185,55978
359.278531573905,3.30006280938604,19.65909,19.22323,19.01028,18.96184,18.95231,STAR,0.0001636695,4277,55506
229.250728238701,38.1210659001044,23.56842,23.07299,21.67043,20.85718,20.10711,STAR,-0.000484957,10743,58222
36.9211481286242,24.8546601704941,21.19644,19.80662,19.14374,18.84943,18.63583,STAR,-0.0002114323,2399,53764
164.604811398809,11.3163232294086,22.40565,21.88489,20.07863,19.38083,18.84362,GALAXY,0.4257834,5356,55979
148.122143635143,56.1026399793558,20.40975,18.54134,17.52931,17.11638,16.82512,GALAXY,0.1168682,557,52253
247.188453836065,14.6366420401549,23.67735,21.01983,19.19077,18.58339,18.17727,GALAXY,0.3484297,4056,55357
40.0834689058743,0.92248870789831,18.03083,16.91169,16.53751,16.37685,16.35486,STAR,-2.558464e-05,706,52199
339.671192424362,10.7175661911186,26.00846,21.02067,20.24514,19.96051,19.74838,STAR,-0.0007042944,5049,56103
200.586416134711,19.250124297016,20.79122,20.3756,20.41488,20.36405,20.12657,QSO,1.664633,5867,56034
235.355494617163,58.4340533876564,25.87587,21.84481,20.14282,19.31918,18.92586,GALAXY,0.4649547,6785,56487
175.233719235907,3.57028508004458,22.74918,21.99659,20.33183,19.4289,19.05875,GALAXY,0.0,4766,55677
154.6400279708,29.5835773421922,19.22696,18.09897,17.46899,17.08818,16.86716,GALAXY,0.1427651,2351,53786
90.6902170871667,64.2700720434331,21.91217,20.87049,20.59112,20.61045,20.38256,QSO,2.793459,2301,53712
331.829963416268,19.5995156251219,19.75799,18.7876,18.42341,18.2929,18.26359,STAR,-0.0005802176,5021,55863
120.22495066299,9.7735456698322,21.72903,19.55395,18.09655,17.51649,17.10026,GALAXY,0.3179493,5494,55857
220.808752980974,46.7136750220893,23.484,23.01471,22.03242,20.59789,19.90975,GALAXY,0.6893142,8491,57488
205.159269947404,4.01872778353941,21.26742,19.14106,17.82298,17.31259,16.94978,GALAXY,0.2011935,4786,55651
172.903670121616,67.4179867862405,20.13968,18.22083,17.29896,16.87836,16.55281,GALAXY,0.1310138,492,51955
168.605676470831,18.458304032758,19.79025,18.71635,18.25089,18.06625,17.98814,STAR,0.0005161044,2872,54533
207.212544890432,2.37811175859192,22.47952,21.74716,20.70809,19.37348,18.4137,STAR,-0.0001344669,4039,55648
161.266081608342,39.9282142955818,25.00687,22.54625,20.67524,19.63615,19.22067,GALAXY,0.5582796,4633,55620
25.4447300621565,12.6369520707662,20.38313,20.06664,19.66685,19.63856,19.76587,QSO,1.047015,11061,58428
130.09979220888,18.1944279774398,24.85852,22.84706,21.93347,20.90133,20.31981,GALAXY,0.7973276,9559,57805
212.280176915922,48.3292985706164,20.23708,20.00112,19.76571,19.89839,19.73598,QSO,1.034363,6746,56386
317.927530342512,0.134237583118442,21.03634,19.05907,18.1729,17.77765,17.5193,GALAXY,0.1482916,1523,52937
161.487753917545,-1.53411164874499,21.7081,20.70526,20.48518,20.48271,20.31286,STAR,0.0006234522,3786,55563
142.095847259876,39.9543405764368,24.73126,21.74218,20.10736,19.31717,18.84893,GALAXY,0.4996584,4640,55927
136.84387391494,23.7133804621614,24.99221,23.97187,21.43897,20.34806,19.22301,GALAXY,0.6232742,11675,58523
159.625741941128,3.35035489832405,22.74736,21.1601,20.53081,20.31132,20.13984,STAR,0.0004812198,505,52317
19.1300335105054,0.447155965483876,21.66061,19.21177,17.57817,16.41327,15.92912,STAR,-1.018069e-05,1500,53730
114.054524301159,19.1311373514824,24.78835,21.69592,20.14679,19.06602,18.6269,GALAXY,0.5670221,4488,55571
13.7873331391811,-1.04647244135417,16.99386,15.08742,14.20821,13.82009,13.51824,GALAXY,0.04571029,394,51913
118.21690165959,16.1205655695883,25.55319,22.6025,20.59712,19.64242,19.13892,QSO,1.341316,1921,53317
209.071377600504,13.4127450123495,23.88818,21.39876,19.85547,18.98506,18.60199,GALAXY,0.583395,5448,56013
183.904460914069,49.900461839435,22.01682,21.70988,21.30397,21.27053,20.76502,QSO,1.05109,8226,57423
18.0705288559783,0.539741390672621,22.75801,22.09018,21.91592,21.74117,22.10687,QSO,1.615613,4227,55481
211.303812486814,53.9346384874754,23.18037,22.44024,20.93893,19.05009,17.95055,STAR,-0.0001732353,1325,52762
342.019988233479,33.0970839711326,21.28107,20.41868,20.31857,20.33414,19.92003,QSO,2.33126,7141,56565
19.2183543295538,4.44368608270005,18.1406,18.02585,17.8477,17.96619,18.06707,QSO,1.067015,8760,57672
38.6719659188672,-0.0702071400661266,25.40072,22.76635,23.20296,22.62395,22.63643,GALAXY,0.0,7336,56656
208.181234100539,51.1053787678663,25.20814,22.26106,20.50495,19.33519,18.88517,GALAXY,0.63663,6741,56394
124.942402855895,50.9367591627111,25.85652,22.75097,21.14702,20.18319,19.46231,GALAXY,0.5229195,7309,56991
147.984246773525,15.8522991989706,20.58986,18.93155,17.59708,17.07332,16.68393,GALAXY,0.1954354,2583,54095
173.03917642769,50.7612552696554,24.25784,21.65338,19.89625,19.10715,18.71633,GALAXY,0.4675791,6691,56413
342.16654713051,27.2890977346284,24.27582,23.5023,21.91557,20.6202,19.73923,STAR,-0.0002700159,7656,57338
328.48768385479,30.0913890433433,23.46121,21.52236,19.64858,18.89238,18.42113,GALAXY,0.4052324,5966,56101
15.4550817688384,-10.8372715265513,20.76206,19.71608,19.6169,19.56451,19.58729,STAR,-0.0005240503,3109,54833
352.880102825265,3.55460344894083,21.44423,21.33548,20.97581,20.56003,20.59653,QSO,1.452861,11285,58402
243.77804405303,30.1447826687821,22.75363,21.66493,21.56114,21.4671,20.91239,STAR,-0.0007403066,5009,55707
117.219572560832,51.6565862365492,22.83478,20.87079,18.99683,18.13972,17.74809,GALAXY,0.4565641,1869,53327
23.3700972642958,8.37307346805389,19.65831,19.44047,19.28055,19.1345,19.11771,QSO,1.435253,11070,58452
332.929194232858,0.0622716306343332,20.37711,19.41201,19.07432,18.97925,18.92974,STAR,0.0002278217,3146,54773
167.290518451478,56.6877893015797,21.36045,20.90425,20.91023,20.89467,20.5591,QSO,2.428957,7101,56659
105.404390038824,39.5165433514883,20.03037,18.51312,17.91551,17.66496,17.5659,STAR,-0.0001074257,2938,54526
240.698006569789,60.9651189274966,22.44165,22.08775,20.45077,19.45516,19.03995,GALAXY,0.53121,6798,56485
253.228786765232,31.9582797506865,23.74329,21.45767,19.64575,18.89204,18.6257,QSO,6.436254,4992,55723
133.478406970696,31.8775122521419,23.73998,22.86137,22.5308,21.69795,22.60199,GALAXY,0.9508104,10434,58140
219.413421085725,43.0732191725737,22.85739,22.57316,21.86714,20.46482,19.70925,GALAXY,0.0,8497,58161
206.935800429205,1.7199174260826,22.32398,21.38867,21.43375,21.38412,21.17345,QSO,2.408968,4039,55648
318.054445284073,4.01888494827323,23.45135,23.05718,21.27308,20.2211,19.54674,GALAXY,0.5986559,11315,58402
189.576958751927,35.9816849041437,22.2178,21.11132,19.22153,18.47072,18.02328,GALAXY,0.428496,2022,53827
168.772981599272,5.30934147444358,21.09293,18.78769,17.41526,16.85062,16.50056,GALAXY,0.2189366,835,52326
222.067615825523,46.0973535524061,21.06952,20.72522,20.64952,20.94172,21.08137,QSO,1.55263,8489,57483
120.085213639279,21.5623316527114,19.70242,18.44586,17.7684,17.42302,17.16891,GALAXY,0.1489073,1583,52941
109.521576578942,38.6713155334529,19.54312,17.59217,16.7408,16.40775,16.22847,STAR,-5.635457e-05,3205,54848
326.70580637641,0.195045077382599,23.38391,22.97068,22.27519,21.24419,20.8054,GALAXY,0.9304429,9231,58017
9.36926763870599,30.906168189059,21.7879,20.88168,20.16316,19.44708,18.91866,GALAXY,0.666055,6526,56543
153.271519021725,50.0287422017312,24.34118,21.6397,20.09064,19.01249,18.59968,GALAXY,0.5289288,6661,56366
252.862720739868,41.2020358657045,20.00668,18.82076,18.45069,18.292,18.2527,STAR,-5.576538e-05,3291,54939
161.058193877075,22.7262954008784,15.76259,14.88128,14.49331,14.32901,14.15422,GALAXY,0.01959509,6426,56334
0.469910678350686,12.7172865633923,20.23305,18.05852,16.76784,16.22682,15.84874,GALAXY,0.1694358,6151,56265
196.378620121734,35.2871595071082,20.16461,19.87435,19.60931,19.55865,19.46078,QSO,0.9706369,10251,58173
257.356045625981,39.2547920866634,25.78763,22.66765,20.34498,19.39927,18.92813,GALAXY,0.3675069,4984,55827
139.273549328975,17.7114223815292,22.85812,22.50843,22.04345,22.02438,21.09502,GALAXY,0.9324397,9554,57807
349.758805840578,27.3023200888117,24.04553,20.54154,19.79866,19.56763,19.492,STAR,-7.698563e-05,6289,56559
236.479509231856,35.3130326824325,22.33284,21.56957,21.23391,20.96498,20.79039,QSO,1.29274,10740,58223
165.617085173269,59.280659601322,24.63466,23.75071,21.82231,21.73886,22.38972,STAR,-0.0001123925,8184,57426
156.372947977497,7.17736353662962,19.35201,17.76977,16.91543,16.42807,16.0999,GALAXY,0.08584154,998,52750
159.043259886024,38.2129437484263,22.16104,20.46618,18.85264,18.24081,17.89738,GALAXY,0.3572398,4634,55626
253.15523215512,22.8637350419142,21.05033,19.93135,19.49095,19.31393,19.27954,STAR,-0.0003146576,2191,54621
227.292897608639,2.68494116233159,22.36829,20.05565,18.47987,17.9405,17.56013,GALAXY,0.3090529,4013,55629
144.996992485282,3.15093803009645,22.37224,20.96563,19.60875,18.71595,18.42382,GALAXY,0.4718348,4736,55631
49.2306265362169,-0.547615536245182,27.15133,22.1913,20.37882,19.34112,18.79153,GALAXY,0.5398331,1565,53002
253.737238012012,21.0626876993606,25.25821,23.6987,21.30559,19.91954,19.30046,GALAXY,0.6195417,4178,55653
112.406161193523,45.07120090715,21.82564,19.55951,18.0675,17.48544,17.11671,GALAXY,0.2168917,5942,56210
36.186328928135,-3.64302334174616,25.89141,21.37268,20.55552,19.83288,19.13343,GALAXY,0.8004974,9319,58043
41.8550920519489,0.500356639108128,22.82319,22.22885,22.35882,22.04231,22.40268,QSO,1.642061,7337,56686
183.371505175255,43.211577142168,22.61895,20.912,20.51975,20.49939,20.70305,QSO,2.986763,6638,56370
174.230279798915,6.97872751483016,21.97966,19.89003,18.37572,17.76329,17.36109,GALAXY,0.262392,4767,55946
210.431946421758,50.1440802664576,19.86881,19.66616,19.61041,19.57768,19.3704,QSO,2.109014,8435,57487
192.823485181243,35.4229902095979,25.52599,22.07403,20.54566,19.49713,19.08507,GALAXY,0.5250449,3974,55320
182.066421679344,51.3904687026192,18.82023,17.39589,16.7415,16.38002,16.12281,GALAXY,0.03312341,882,52370
44.2222934457311,-0.430426747006276,21.63795,21.41954,20.17368,19.1758,18.88689,GALAXY,0.5442697,4242,55476
175.768601696385,52.6703506317303,23.27272,21.99151,20.97996,20.10389,19.60611,GALAXY,0.6140077,6690,56416
224.985981575218,2.69376815418738,19.82665,18.72574,18.24996,17.98155,17.74792,GALAXY,0.08368304,539,52017
2.59675635085527,-9.21881291721356,22.24354,21.21929,19.5344,18.79419,18.37779,GALAXY,0.4282422,7169,56628
25.6182771053912,-0.734815002664269,21.07418,20.76026,20.72256,20.46741,20.32962,QSO,1.620681,7843,56902
8.2768405505977,-7.8502799709463,21.53142,20.96466,20.70732,21.00818,20.13729,QSO,0.9613957,7152,56660
52.9261798983339,-0.656433733082643,22.78889,21.42467,19.81201,18.97208,18.45541,STAR,0.0001238926,1516,52933
56.1127916188649,-5.92902898463663,21.42012,20.43807,19.26685,18.73653,18.22856,GALAXY,0.2964927,1634,53299
233.653486505144,17.1298699148307,23.75579,22.1678,21.4598,20.39454,19.54855,GALAXY,0.7211892,3938,55328
211.853935581875,44.7688728226977,21.39275,20.51975,20.40474,20.33077,20.08719,QSO,2.624118,8500,57432
161.415723550872,7.56443896012481,21.01549,18.40352,19.92929,16.70409,16.38097,STAR,0.0001282357,1000,52643
234.047759321265,1.86023872619351,26.60237,21.72163,20.2975,19.31083,19.12194,GALAXY,0.4553595,4054,55358
154.414667378593,42.5270104492025,25.84566,24.04294,21.4506,20.03534,19.79292,GALAXY,0.5790946,4561,55614
184.565502764912,47.5536160814972,23.22344,22.04642,20.72798,19.6892,19.25424,GALAXY,0.5954217,6671,56388
126.132430239357,58.6166378017587,21.9332,21.71128,21.43136,21.34388,21.34842,QSO,2.04264,8169,57071
137.81148905482,14.3735677158451,24.41601,21.88259,20.80777,19.95814,19.4159,GALAXY,0.2904431,5300,55982
188.302986770104,51.3107329275885,21.938,19.46559,18.00318,17.48853,17.13322,GALAXY,0.2500877,6674,56416
1.28353773056904,26.9232234839921,22.17171,21.69438,21.47968,21.35147,20.93372,QSO,2.375356,7695,57654
343.849226695657,25.3472558584768,22.67751,24.06153,22.13861,20.92139,20.1441,GALAXY,0.5875528,7658,57312
147.42020776665,18.8511224419173,20.29943,19.96657,19.86737,19.8429,19.6201,QSO,2.153105,5782,56272
194.823071986528,42.0155700914832,20.95838,20.9102,20.89482,20.5584,21.34566,QSO,1.733893,8387,57483
224.673362335998,42.1475359183711,20.82491,20.58211,20.36408,20.37712,20.48068,QSO,0.9823961,8522,58193
13.8156128630632,16.4215509501786,25.13617,21.64981,21.24882,20.82483,20.86068,STAR,-0.0008549662,6204,56220
30.4781407441343,17.6262287684506,26.4807,22.82684,20.95139,19.81307,19.29475,GALAXY,0.5278555,5106,55833
210.103985051912,35.4349235131449,25.74934,22.16022,20.65169,19.37206,18.97771,GALAXY,0.622588,3857,55272
345.907733889351,11.2305423360246,20.52575,18.43673,17.21592,16.68871,16.28838,GALAXY,0.1397901,6154,56237
150.925255482182,52.0537784989186,25.36095,22.66851,21.10597,20.00913,19.71014,GALAXY,0.6421251,6660,56370
240.201831588421,27.9862150408061,20.22885,18.44836,17.36108,16.84735,16.51489,GALAXY,0.1695982,1392,52822
114.046588065702,19.180163163057,23.73362,22.60652,20.76279,19.66882,19.21569,GALAXY,0.5664276,4488,55571
5.21004662551795,-10.8495004675496,22.70795,20.20351,18.9918,18.42635,18.12919,STAR,-0.0001191059,1913,53321
196.397547547491,46.207363846825,21.92345,22.89746,21.63696,20.45928,19.45187,GALAXY,0.5965328,7414,56748
19.8062272525644,11.5236841610038,24.61644,22.25414,20.439,19.38019,18.83102,GALAXY,0.5356874,4667,55868
356.458372479554,26.6001440661946,21.87594,22.12268,20.79023,19.69232,18.75603,STAR,-0.000165713,6516,56571
7.92070015082294,15.2034975109681,22.94501,22.6326,20.86606,19.64455,19.09916,GALAXY,0.5859121,6192,56269
5.75246012932706,27.9751143665589,19.89448,17.82949,16.75421,16.30912,15.94887,GALAXY,0.1265844,6280,56570
69.2906701273246,26.6243250759437,22.96088,21.62811,20.33788,19.67011,19.28709,QSO,4.396005,7262,56683
153.42181540299,64.8315381374898,21.25753,20.80254,20.5076,20.46721,20.47562,QSO,0.8608563,7082,56713
327.318876005124,10.186289119779,19.85735,17.83669,16.76011,16.25526,15.81859,GALAXY,0.07749251,4094,55481
19.315709399634,-9.33001325767101,20.43596,19.31663,19.32137,19.36565,19.46975,STAR,-0.0004515543,2864,54467
122.54613511755,14.7015938069732,22.83194,21.01875,19.50442,18.75194,18.33261,GALAXY,0.2915686,4499,55572
215.349635645233,62.2996152566208,20.31743,18.17908,17.08861,16.62351,16.27979,GALAXY,0.141645,606,52365
150.517029692195,40.3543063255147,23.1038,22.38618,20.64251,19.76232,19.22447,GALAXY,0.5713852,4566,55630
131.07991966703,43.5072323343369,24.18559,24.28872,21.95005,20.68925,19.65184,STAR,-6.162505e-05,6783,56284
241.117964445339,53.0670023714994,16.59483,15.22875,14.74672,14.60013,14.56466,STAR,-9.863639e-05,2176,54243
18.9832574925952,0.844620559295226,22.03848,19.53211,17.95508,17.19673,16.7283,STAR,8.075086e-05,1080,52614
32.2020098329992,-1.13457754735605,18.89875,18.152,17.93439,17.71705,17.60612,GALAXY,0.0355881,404,51812
28.4848397210119,-1.94179277727206,21.55428,20.38137,18.67787,18.06365,17.66326,GALAXY,0.331774,4348,55559
225.593565476675,55.0379845354767,22.77836,22.04111,21.87964,21.56218,21.60257,QSO,0.822184,8415,57893
227.660023852935,10.3507455013649,21.22776,19.50095,18.82542,18.68063,18.57707,QSO,3.436738,5485,56063
161.949293342944,26.733098216678,23.71579,22.3919,22.00206,21.41818,20.87172,GALAXY,0.8978902,10474,58143
180.535339204959,39.649276189887,21.38205,20.10749,20.14373,20.08368,20.10613,STAR,0.0006993682,2467,54176
215.981196721206,64.6231389191051,25.59847,21.71638,19.97988,18.97433,18.5198,GALAXY,0.5263469,7124,56720
160.041502227506,18.7363973651141,19.52755,18.06699,17.01898,16.53869,16.22557,GALAXY,0.1698322,2593,54175
351.300610430886,33.0380926932115,25.45554,21.14486,20.30925,19.94388,19.5609,STAR,-0.0001921221,7139,56568
238.130485785458,54.143082956139,24.55357,21.30493,19.46505,18.75294,18.36268,GALAXY,0.4082735,6709,56429
185.583827376456,-0.657376585961432,21.60924,20.92776,20.59898,20.42365,20.11244,STAR,0.0007714431,3847,55588
255.24252794259,37.4070722652983,22.49282,21.79908,20.36143,19.51039,19.07277,GALAXY,0.5010197,4983,55836
150.849384229126,17.7340708643592,23.00365,20.40095,18.71148,18.11993,17.7051,GALAXY,0.3130477,5326,56002
11.8616342051801,-3.10435522758276,22.58051,22.38366,23.10257,22.37435,21.0804,GALAXY,0.943078,9349,58068
121.736929450046,9.07388207303613,26.54829,22.81444,20.88042,19.6762,19.20957,GALAXY,0.5900915,5494,55857
222.159362892524,-2.34643114622691,21.27183,20.35372,19.99006,19.83299,19.50661,QSO,2.238715,4023,55328
230.212340541229,60.278383640823,21.32412,19.99506,19.70704,19.61873,19.59468,STAR,-0.0004333394,6981,56443
6.83161773249162,20.5594798778711,21.64511,22.83868,22.68703,20.96269,19.93199,GALAXY,0.7897244,7589,56946
